compound_id,standard_inchi_key,compound_name,synonym,target_id,target_pref_name,gene_names,wildtype_or_mutant,mutation_info,pubmed_id,standard_type,standard_relation,standard_value,standard_units,activity_comment,ep_action_mode,assay_format,assaytype,assay_subtype,inhibitor_type,detection_tech,assay_cell_line,compound_concentration_value,compound_concentration_value_unit,substrate_type,substrate_relation,substrate_value,substrate_units,assay_description,title,journal,doc_type,annotation_comments
CHEMBL2205816,ABONQAUMSMWLEK-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,23981939,INHIBITION,<,50,%,,"",cell_based,"","","","",,,,,,,,"Displacement of [3H]-WIN-35,428 from human DAT expressed in HEK cell membranes at 10 uM relative to control","N-substituted 8-aminopentacyclo[5.4.0.0(2,6).0(3,10).0(5,9)]undecanes as s receptor ligands with potential neuroprotective effects.",Bioorg. Med. Chem.,PUBLICATION,
CHEMBL565844,ABPSWEJOHYDZDP-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,19821577,IC50,=,650,NM,,"",cell_based,"","","","",HEK293,,,,,,,Inhibition of [3H]dopamine reuptake at human DAT expressed in HEK293 cells,Synthesis and biological evaluation of bupropion analogues as potential pharmacotherapies for cocaine addiction.,J. Med. Chem.,PUBLICATION,
CHEMBL565844,ABPSWEJOHYDZDP-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,19821577,KI,=,1150,NM,,"",cell_based,"","","","",HEK293,,,,,,,Displacement of [125I]RTI55 from cloned human DAT expressed in HEK293 cells,Synthesis and biological evaluation of bupropion analogues as potential pharmacotherapies for cocaine addiction.,J. Med. Chem.,PUBLICATION,
CHEMBL565844,ABPSWEJOHYDZDP-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,20158204,IC50,=,410,NM,,"",cell_based,"","","","",HEK293,,,,,,,Inhibition of [3H]dopamine uptake at human DAT expressed in HEK293 cells,Synthesis and biological evaluation of bupropion analogues as potential pharmacotherapies for smoking cessation.,J. Med. Chem.,PUBLICATION,
CHEMBL115710,ABQQJUQDHRDZGR-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,15808487,KI,=,660.69,NM,,"","","","","","",,,,,,,,Ability of compound to inhibit dopamine uptake of receptor was determined,The role of QSAR in dopamine interactions.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL512472,ABWNRPAQIBGXIY-ZDUSSCGKSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,18625557,IC50,,,,Not Determined,"",cell_based,"","","","",HEK293,,,,,,,Inhibition of [3H]DA reuptake at human dopamine transporter expressed in HEK293 cells by scintillation counting,N-Benzyl-N-(pyrrolidin-3-yl)carboxamides as a new class of selective dual serotonin/noradrenaline reuptake inhibitors.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL275212,ABXUYGWOEIXKBD-KTKRTIGZSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,14971892,KI,=,22,NM,,"","","","","","",,,,,,,,In vitro binding affinity against human dopamine transporter in dog kidney cell line by using [125I]RTI-55 as radioligand,"Synthesis, radiosynthesis, and biological evaluation of carbon-11 and iodine-123 labeled 2beta-carbomethoxy-3beta-[4'-((Z)-2-haloethenyl)phenyl]tropanes: candidate radioligands for in vivo imaging of the serotonin transporter.",J. Med. Chem.,PUBLICATION,
CHEMBL553395,ABYFXYVIEFXQPH-HNNXBMFYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,19616432,KI,=,2950,NM,,"",cell_based,"","","","",HEK293,,,,,,,Displacement of radioligand from human recombinant DAT expressed in HEK293 cells by scintillation proximity assay,"Design, synthesis and evaluation of N-[(3S)-pyrrolidin-3-yl]benzamides as selective noradrenaline reuptake inhibitors: CNS penetration in a more polar template.",Bioorg. Med. Chem. Lett.,PUBLICATION,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,10755640,KI,=,1.53,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,12649361,KI,=,10000,NM,,"","","","","","",,,,,,,,,,,,
CHEMBL765,ACGDKVXYNVEAGU-UHFFFAOYSA-N,GUANETHIDINE,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",CHO-K1,,,,,,,DRUGMATRIX: Dopamine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL765,ACGDKVXYNVEAGU-UHFFFAOYSA-N,GUANETHIDINE,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",CHO-K1,,,,,,,DRUGMATRIX: Dopamine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL496,ACGUYXCXAPNIKK-UHFFFAOYSA-N,HEXACHLOROPHENE,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",CHO-K1,,,,,,,DRUGMATRIX: Dopamine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL496,ACGUYXCXAPNIKK-UHFFFAOYSA-N,HEXACHLOROPHENE,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",CHO-K1,,,,,,,DRUGMATRIX: Dopamine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL606809,ACGWDXHPVXMSNJ-KOQKOIQBSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,19560930,KI,=,5.5,NM,,"",cell_based,"","","","",,,,,,,,Displacement of [125I]methyl 3-(4-iodophenyl)-8-methyl-8-aza-bicyclo[3.2.1]octane-2-carboxylate from human recombinant DAT expressed in african green monkey COS1 cells by liquid scintillation counting,An extended study of dimeric phenyl tropanes.,Bioorg. Med. Chem.,PUBLICATION,
CHEMBL1069,ACWBQPMHZXGDFX-QFIPXVFZSA-N,VALSARTAN,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",CHO-K1,,,,,,,DRUGMATRIX: Dopamine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL1069,ACWBQPMHZXGDFX-QFIPXVFZSA-N,VALSARTAN,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",CHO-K1,,,,,,,DRUGMATRIX: Dopamine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL404013,ACZMLOPMXAUHFP-QFBILLFUSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,18445525,IC50,>,10000,NM,,"","","","","","",,,,,,,,Inhibition of human DAT,"Identification of 1S,2R-milnacipran analogs as potent norepinephrine and serotonin transporter inhibitors.",Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL334577,ADCPRYKGPAHETD-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,12213054,IC50,=,2.1,NM,,"","","","","","",,,,,,,,Ability to displace [3H]WIN-35428 from dopamine transporter on guinea pig striatal membrane.,Benzo- and cyclohexanomazindol analogues as potential inhibitors of the cocaine binding site at the dopamine transporter.,J. Med. Chem.,PUBLICATION,
CHEMBL334577,ADCPRYKGPAHETD-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,12213054,KI,=,2.01,NM,,"","","","","","",,,,,,,,Inhibition of [125I]- RTI -55 binding at the Dopamine transporter sites on HEK-hDAT cells,Benzo- and cyclohexanomazindol analogues as potential inhibitors of the cocaine binding site at the dopamine transporter.,J. Med. Chem.,PUBLICATION,
CHEMBL334577,ADCPRYKGPAHETD-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,12213054,RATIO,=,20.3,,,"","","","","","",,,,,,,,Ratio of the IC50 value of Mazindol to that in guinea pig was determined,Benzo- and cyclohexanomazindol analogues as potential inhibitors of the cocaine binding site at the dopamine transporter.,J. Med. Chem.,PUBLICATION,
CHEMBL2030634,ADGIWWYGVBZYMC-UHFFFAOYSA-N,N-(CYCLOHEXYLMETHYL)PYRROLIDINE,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,22607684,INHIBITION,<,50,%,,"","","","","","",,,,,,,,Inhibition of DAT at 10 uM,7-Azabicyclo[2.2.1]heptane as a scaffold for the development of selective sigma-2 (s(2)) receptor ligands.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL115769,ADQZGIYHFQQPRB-UHFFFAOYSA-N,RWJ-68354,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",CHO-K1,,,,,,,DRUGMATRIX: Dopamine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL115769,ADQZGIYHFQQPRB-UHFFFAOYSA-N,RWJ-68354,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",CHO-K1,,,,,,,DRUGMATRIX: Dopamine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL1702607,ADVPTQAUNPRNPO-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,12649361,KI,=,10000,NM,,"","","","","","",,,,,,,,,,,,
CHEMBL220801,AEEJHYWVYVJIRH-OFVILXPXSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,16931001,KI,=,2240,NM,,"","","","","","",,,,,,,,Inhibition of DAT,"2,4-Disubstituted piperidines as selective CC chemokine receptor 3 (CCR3) antagonists: synthesis and selectivity.",Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL466538,AEKDVQNDZQYMPK-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,18393401,KI,=,100,NM,,"","","","","","",,,,,,,,Displacement of [125I]RTI55 from DAT,"Design and synthesis of 2- and 3-substituted-3-phenylpropyl analogs of 1-[2-[bis(4-fluorophenyl)methoxy]ethyl]-4-(3-phenylpropyl)piperazine and 1-[2-(diphenylmethoxy)ethyl]-4-(3-phenylpropyl)piperazine: role of amino, fluoro, hydroxyl, methoxyl, methyl, methylene, and oxo substituents on affinity for the dopamine and serotonin transporters.",J. Med. Chem.,PUBLICATION,
CHEMBL313833,AELCINSCMGFISI-UHFFFAOYSA-N,TRANYLCYPROMINE,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,9537821,KI,=,5100,NM,,"","","","","","",,,,,,,,,,,,
CHEMBL252557,AEMRFAOFKBGASW-UHFFFAOYSA-N,GLYCOLIC ACID,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",CHO-K1,,,,,,,DRUGMATRIX: Dopamine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL252557,AEMRFAOFKBGASW-UHFFFAOYSA-N,GLYCOLIC ACID,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",CHO-K1,,,,,,,DRUGMATRIX: Dopamine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL44884,AEUTYOVWOVBAKS-UWVGGRQHSA-N,ETHAMBUTOL,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",CHO-K1,,,,,,,DRUGMATRIX: Dopamine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL44884,AEUTYOVWOVBAKS-UWVGGRQHSA-N,ETHAMBUTOL,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",CHO-K1,,,,,,,DRUGMATRIX: Dopamine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL399147,AEWPIBYOYSOWAL-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,17766113,IC50,=,33000,NM,,"","","","","","",,,,,,,,Inhibition of DAT,Conformationally restricted homotryptamines. Part 4: Heterocyclic and naphthyl analogs of a potent selective serotonin reuptake inhibitor.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL399147,AEWPIBYOYSOWAL-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,17766113,INHIBITION,=,12,%,,"","","","","","",,,,,,,,Inhibition of DAT at 1 uM,Conformationally restricted homotryptamines. Part 4: Heterocyclic and naphthyl analogs of a potent selective serotonin reuptake inhibitor.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL14257,AEYFRZGFXCIRPL-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,14971892,KI,=,5.6,NM,,"","","","","","",,,,,,,,In vitro binding affinity against human dopamine transporter in dog kidney cell line by using [125I]RTI-55 as radioligand,"Synthesis, radiosynthesis, and biological evaluation of carbon-11 and iodine-123 labeled 2beta-carbomethoxy-3beta-[4'-((Z)-2-haloethenyl)phenyl]tropanes: candidate radioligands for in vivo imaging of the serotonin transporter.",J. Med. Chem.,PUBLICATION,
CHEMBL405728,AFBGSNRISAOHKD-FUHWJXTLSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,18445525,IC50,>,10000,NM,,"","","","","","",,,,,,,,Inhibition of human DAT,"Identification of 1S,2R-milnacipran analogs as potent norepinephrine and serotonin transporter inhibitors.",Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL88563,AFEGPFDFZHEVOA-IOCOHYSWSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,11472216,IC50,=,235,NM,,"","","","","","",,,,,,,,Inhibition of [3H]WIN-35428 binding to Dopamine transporter in rhesus (Macaca mulatta) or cynomolgus monkey (Macaca fascicularis) caudate-putamen,Synthesis of 6- and 7- hydroxy-8-azabicyclo[3.2.1]octanes and their binding affinity for the dopamine and serotonin transporters.,J. Med. Chem.,PUBLICATION,
CHEMBL88563,AFEGPFDFZHEVOA-IOCOHYSWSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,11472216,IC50,=,518,NM,,"","","","","","",,,,,,,,Inhibition of [3H]WIN-35428 binding to Dopamine transporter in rhesus (Macaca mulatta) or cynomolgus monkey (Macaca fascicularis) caudate-putamen,Synthesis of 6- and 7- hydroxy-8-azabicyclo[3.2.1]octanes and their binding affinity for the dopamine and serotonin transporters.,J. Med. Chem.,PUBLICATION,
CHEMBL596001,AFKZQXYPUGXQNH-SESHTJHWSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,19560930,KI,=,1,NM,,"",cell_based,"","","","",,,,,,,,Displacement of [125I]methyl 3-(4-iodophenyl)-8-methyl-8-aza-bicyclo[3.2.1]octane-2-carboxylate from human recombinant DAT expressed in african green monkey COS1 cells by liquid scintillation counting,An extended study of dimeric phenyl tropanes.,Bioorg. Med. Chem.,PUBLICATION,
CHEMBL1221,AFNXATANNDIXLG-UHFFFAOYSA-N,SULCONAZOLE,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,IC50,=,1726,NM,,"","","","","","",CHO-K1,,,,,,,DRUGMATRIX: Dopamine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL1221,AFNXATANNDIXLG-UHFFFAOYSA-N,SULCONAZOLE,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,KI,=,1371,NM,,"","","","","","",CHO-K1,,,,,,,DRUGMATRIX: Dopamine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL1818467,AFOUVNVDHQZVBK-RTBURBONSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,21550808,KI,=,19.95,NM,,"","","","","","",,,,,,,,Displacement of [3H]WIN-35428 from human recombinant DAT by scintillation proximity assay,"1-Heteroaryl-6-(3,4-dichlorophenyl)-3-azabicyclo[4.1.0]heptane: Further insights into a class of triple re-uptake inhibitors.",Bioorg. Med. Chem.,PUBLICATION,
CHEMBL530334,AFPFOKAYUJMERG-CABCVRRESA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,18550369,IC50,=,2000,NM,,"",cell_based,"","","","",HEK293,,,,,,,Inhibition of dopamine uptake at human DAT in human HEK293 cells,"Discovery of a potent, selective, and less flexible selective norepinephrine reuptake inhibitor (sNRI).",Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL1204414,AFRJOWOPSIECIY-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,20153188,INHIBITION,=,50,%,,"",cell_based,"","","","",CHO,,,,,,,Displacement of [3H]WIN-35428 from human recombinant DAT expressed in CHO cells at 10 uM,Structure-activity relationships of norepinephrine reuptake inhibitors with benzothiadiazine dioxide or dihydrosulfostyril cores.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL121611,AFTYGKFAHDIZJA-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,10479296,IC50,=,68,NM,,"",cell_based,"","","","",,,,,,,,Inhibition of [3H]DA uptake in HEK cells expressing dopamine transporter,"Design, synthesis, and biological evaluation of novel non-piperazine analogues of 1-[2-(diphenylmethoxy)ethyl]- and 1-[2-[bis(4-fluorophenyl)methoxy]ethyl]-4-(3-phenylpropyl)piperazines as dopamine transporter inhibitors.",J. Med. Chem.,PUBLICATION,
CHEMBL121611,AFTYGKFAHDIZJA-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,10479296,KI,=,28,NM,,"",cell_based,"","","","",,,,,,,,Inhibition of [125I]RTI-55 binding at Dopamine transporter (DAT) expressed in HEK cells,"Design, synthesis, and biological evaluation of novel non-piperazine analogues of 1-[2-(diphenylmethoxy)ethyl]- and 1-[2-[bis(4-fluorophenyl)methoxy]ethyl]-4-(3-phenylpropyl)piperazines as dopamine transporter inhibitors.",J. Med. Chem.,PUBLICATION,
