compound_id,standard_inchi_key,compound_name,synonym,target_id,target_pref_name,gene_names,wildtype_or_mutant,mutation_info,pubmed_id,standard_type,standard_relation,standard_value,standard_units,activity_comment,ep_action_mode,assay_format,assaytype,assay_subtype,inhibitor_type,detection_tech,assay_cell_line,compound_concentration_value,compound_concentration_value_unit,substrate_type,substrate_relation,substrate_value,substrate_units,assay_description,title,journal,doc_type,annotation_comments
CHEMBL1766557,AAXKYGHMWDRPPR-XYOKQWHBSA-N,,,P21397,MONOAMINE OXIDASE A,MAOA,,,21405131,INHIBITION,,,,Not Active,"","","","","","",,,,,,,,Inhibition of human recombinant MAO-A expressed in baculovirus infected BTI-TN-5B1-4 insect sells assessed as hydrogen peroxide production at 100 uM by fluorimetric method,Homoisoflavonoids: natural scaffolds with potent and selective monoamine oxidase-B inhibition properties.,J. Med. Chem.,PUBLICATION,
CHEMBL488279,ABBQGOCHXSPKHJ-WUKNDPDISA-N,PRONTOSIL,,Q64133,MONOAMINE OXIDASE A,"",,,18834112,ACTIVITY,,,,Not Active,"","","","","","",,,,,,,,Inhibition of mouse brain MAOA,Quantitative structure-activity relationship and complex network approach to monoamine oxidase A and B inhibitors.,J. Med. Chem.,PUBLICATION,
CHEMBL1945158,ABDIJUBDZNYCOU-UHFFFAOYSA-N,,,P21397,MONOAMINE OXIDASE A,MAOA,,,22309913,IC50,=,1130,NM,,"","","","","","",,,,,,,,Inhibition of recombinant human monoamine oxidase A expressed in insect microsomes using kynuramine as substrate after 20 mins by fluorescence spectrophotometry,Inhibition of monoamine oxidase by selected C6-substituted chromone derivatives.,Eur. J. Med. Chem.,PUBLICATION,
CHEMBL470308,ABHWTNNCLMPSQE-UHFFFAOYSA-N,,,P21396,MONOAMINE OXIDASE A,"",,,18980841,IC50,=,475500,NM,,"","","","","","",,,,,,,,Inhibition of MAOA in rat liver homogenates preincubated for 60 mins,Pyrazoline-based mycobactin analogues as MAO-inhibitors.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL990,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,BUTENAFINE,,P21397,MONOAMINE OXIDASE A,MAOA,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"",cell_based,"","","","",BTI-TN-5B1-4,,,,,,,DRUGMATRIX: Monoamine Oxidase MAO-A enzyme inhibition (substrate: Kynuramine),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL990,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,BUTENAFINE,,P21397,MONOAMINE OXIDASE A,MAOA,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"",cell_based,"","","","",BTI-TN-5B1-4,,,,,,,DRUGMATRIX: Monoamine Oxidase MAO-A enzyme inhibition (substrate: Kynuramine),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL3651141,ABOKCGLYBDRXTG-ZVAWYAOSSA-N,,,P21397,MONOAMINE OXIDASE A,MAOA,,,,IC50,=,21300,NM,294584,"","","","","","",,,,,,,,"BindingDB_Patents: Fluorescent-Based (Inhibitor) Screening Assay. Human recombinant monoamine oxidase proteins MAO-A and MAO-B were purchased from Sigma Aldrich. MAOs catalyze the oxidative deamination of 1, 2 and 3 amines. In order to monitor MAO enzymatic activities and/or their inhibition rate by inhibitor(s) of interest, a fluorescent-based (inhibitor)-screening assay was set up. 3-(2-Aminophenyl)-3-oxopropamamine (kynuramine dihydrobromide, Sigma Aldrich), a non fluorescent compound was chosen as a substrate. Kynuramine is a non-specific substrate for both MAOs activities. While undergoing oxidative deamination by MAO activities, kynuramine is converted into 4-hydroxyquinoline (4-HQ), a resulting fluorescent product.The monoamine oxidase activity was estimated by measuring the conversion of kynuramine into 4-hydroxyquinoline. Assays were conducted in 96-well black plates with clear bottom (Corning) in a final volume of 100 uL. The assay buffer was 100 mM HEPES, pH 7.5. Each experiment was performed in triplicate within the same experiment.",Phenylcyclopropylamine derivatives and their medical use,,PATENT,
CHEMBL3651141,ABOKCGLYBDRXTG-ZVAWYAOSSA-N,,,P21397,MONOAMINE OXIDASE A,MAOA,,,,IC50,=,21300,NM,,"","","","","","",,,,,,,,"BindingDB_Patents: Fluorescent-Based (Inhibitor) Screening Assay. Human recombinant monoamine oxidase proteins MAO-A and MAO-B were purchased from Sigma Aldrich. MAOs catalyze the oxidative deamination of 1, 2 and 3 amines. In order to monitor MAO enzymatic activities and/or their inhibition rate by inhibitor(s) of interest, a fluorescent-based (inhibitor)-screening assay was set up. 3-(2-Aminophenyl)-3-oxopropamamine (kynuramine dihydrobromide, Sigma Aldrich), a non fluorescent compound was chosen as a substrate. Kynuramine is a non-specific substrate for both MAOs activities. While undergoing oxidative deamination by MAO activities, kynuramine is converted into 4-hydroxyquinoline (4-HQ), a resulting fluorescent product.The monoamine oxidase activity was estimated by measuring the conversion of kynuramine into 4-hydroxyquinoline. Assays were conducted in 96-well black plates with clear bottom (Corning) in a final volume of 100 uL. The assay buffer was 100 mM HEPES, pH 7.5. Each experiment was performed in triplicate within the same experiment.",Phenylcyclopropylamine derivatives and their medical use,,PATENT,
CHEMBL3651141,ABOKCGLYBDRXTG-ZVAWYAOSSA-N,,,P21397,MONOAMINE OXIDASE A,MAOA,,,,IC50,=,25300,NM,,"","","","","","",,,,,,,,"BindingDB_Patents: Fluorescent-Based (Inhibitor) Screening Assay. Human recombinant monoamine oxidase proteins MAO-A and MAO-B were purchased from Sigma Aldrich. MAOs catalyze the oxidative deamination of 1, 2 and 3 amines. In order to monitor MAO enzymatic activities and/or their inhibition rate by inhibitor(s) of interest, a fluorescent-based (inhibitor)-screening assay was set up. 3-(2-Aminophenyl)-3-oxopropamamine (kynuramine dihydrobromide, Sigma Aldrich), a non fluorescent compound was chosen as a substrate. Kynuramine is a non-specific substrate for both MAOs activities. While undergoing oxidative deamination by MAO activities, kynuramine is converted into 4-hydroxyquinoline (4-HQ), a resulting fluorescent product.The monoamine oxidase activity was estimated by measuring the conversion of kynuramine into 4-hydroxyquinoline. Assays were conducted in 96-well black plates with clear bottom (Corning) in a final volume of 100 uL. The assay buffer was 100 mM HEPES, pH 7.5. Each experiment was performed in triplicate within the same experiment.",Phenylcyclopropylamine derivatives and their medical use,,PATENT,
CHEMBL2203921,ABPXISKFLMGPJG-UHFFFAOYSA-N,,,P21397,MONOAMINE OXIDASE A,MAOA,,,23102654,IC50,>,100000,NM,,"","","","","","",,,,,,,,Inhibition of MAO-A assessed as inhibition of kyneuramine conversion to 4-hydroxyquinoline after 20 mins by fluorescence assay,"Inhibition of monoamine oxidase by derivatives of piperine, an alkaloid from the pepper plant Piper nigrum, for possible use in Parkinson's disease.",Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL2313295,ABSJQRQXPUIGHS-BQYQJAHWSA-N,,,P21397,MONOAMINE OXIDASE A,MAOA,,,23281824,IC50,=,5690,NM,,"","","","","","",,,,,,,,Inhibition of human MAOA after 1 hr by luminescence assay,Synthesis of (E)-8-(3-chlorostyryl)caffeine analogues leading to 9-deazaxanthine derivatives as dual A(2A) antagonists/MAO-B inhibitors.,J. Med. Chem.,PUBLICATION,
CHEMBL1080447,ABVLEDJVQBYJHS-UHFFFAOYSA-N,,,P21397,MONOAMINE OXIDASE A,MAOA,,,19926363,IC50,=,68870,NM,,"","","","","","",,,,,,,,Inhibition of human recombinant MAOA,"Synthesis and inhibitory activity against human monoamine oxidase of N1-thiocarbamoyl-3,5-di(hetero)aryl-4,5-dihydro-(1H)-pyrazole derivatives.",Eur. J. Med. Chem.,PUBLICATION,
CHEMBL2178980,ABWMXXPFECHZGG-UFFVCSGVSA-N,,,P21398,MONOAMINE OXIDASE A,"",,,23153282,KI,=,0.00887,NM,,"","","","","","",,,,,,,,Inhibition of bovine brain MAOA using kinuramine as substrate preincubated for 30 mins prior to substrate addition measured after 30 mins by fluorometric assay,Synthesis of new 7-oxycoumarin derivatives as potent and selective monoamine oxidase a inhibitors.,J. Med. Chem.,PUBLICATION,
CHEMBL3651120,ABZIBKADQGGRHA-KZUDCZAMSA-N,,,P21397,MONOAMINE OXIDASE A,MAOA,,,,IC50,=,8100,NM,294564,"","","","","","",,,,,,,,"BindingDB_Patents: Fluorescent-Based (Inhibitor) Screening Assay. Human recombinant monoamine oxidase proteins MAO-A and MAO-B were purchased from Sigma Aldrich. MAOs catalyze the oxidative deamination of 1, 2 and 3 amines. In order to monitor MAO enzymatic activities and/or their inhibition rate by inhibitor(s) of interest, a fluorescent-based (inhibitor)-screening assay was set up. 3-(2-Aminophenyl)-3-oxopropamamine (kynuramine dihydrobromide, Sigma Aldrich), a non fluorescent compound was chosen as a substrate. Kynuramine is a non-specific substrate for both MAOs activities. While undergoing oxidative deamination by MAO activities, kynuramine is converted into 4-hydroxyquinoline (4-HQ), a resulting fluorescent product.The monoamine oxidase activity was estimated by measuring the conversion of kynuramine into 4-hydroxyquinoline. Assays were conducted in 96-well black plates with clear bottom (Corning) in a final volume of 100 uL. The assay buffer was 100 mM HEPES, pH 7.5. Each experiment was performed in triplicate within the same experiment.",Phenylcyclopropylamine derivatives and their medical use,,PATENT,
CHEMBL3651120,ABZIBKADQGGRHA-KZUDCZAMSA-N,,,P21397,MONOAMINE OXIDASE A,MAOA,,,,IC50,=,8100,NM,,"","","","","","",,,,,,,,"BindingDB_Patents: Fluorescent-Based (Inhibitor) Screening Assay. Human recombinant monoamine oxidase proteins MAO-A and MAO-B were purchased from Sigma Aldrich. MAOs catalyze the oxidative deamination of 1, 2 and 3 amines. In order to monitor MAO enzymatic activities and/or their inhibition rate by inhibitor(s) of interest, a fluorescent-based (inhibitor)-screening assay was set up. 3-(2-Aminophenyl)-3-oxopropamamine (kynuramine dihydrobromide, Sigma Aldrich), a non fluorescent compound was chosen as a substrate. Kynuramine is a non-specific substrate for both MAOs activities. While undergoing oxidative deamination by MAO activities, kynuramine is converted into 4-hydroxyquinoline (4-HQ), a resulting fluorescent product.The monoamine oxidase activity was estimated by measuring the conversion of kynuramine into 4-hydroxyquinoline. Assays were conducted in 96-well black plates with clear bottom (Corning) in a final volume of 100 uL. The assay buffer was 100 mM HEPES, pH 7.5. Each experiment was performed in triplicate within the same experiment.",Phenylcyclopropylamine derivatives and their medical use,,PATENT,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,1610807,KI,=,5500,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,1610807,KI,=,29000,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,1610807,KI,=,37000,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,15710600,KI,=,1000000,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,16366596,KI,=,67000,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,16366596,KI,=,160000,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,16611214,IC50,=,8.6,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,16611214,IC50,=,10,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,16611214,IC50,=,72,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,16611214,IC50,=,100,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,16611214,IC50,=,1000,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,16611214,IC50,=,2000,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,22100142,IC50,=,652,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,22100142,IC50,=,1310,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,22100142,IC50,=,2440,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,22100142,IC50,=,2450,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,22100142,IC50,=,2610,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,22100142,IC50,=,3600,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,22100142,IC50,=,11900,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,22100142,IC50,=,13000,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,22100142,IC50,=,15900,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,22100142,IC50,=,19200,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,22100142,IC50,=,65500,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,22100142,IC50,=,69500,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,22100142,IC50,=,102000,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,22100142,IC50,=,145000,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,23064123,IC50,=,495,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,23064123,IC50,=,592,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,23064123,IC50,=,718,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,23064123,IC50,=,784,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,23064123,IC50,=,1170,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,23064123,IC50,=,1520,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,23064123,IC50,=,1570,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,23064123,IC50,=,1730,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,23064123,IC50,=,1970,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,23064123,IC50,=,2100,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,23064123,IC50,=,2190,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,23064123,IC50,=,3080,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,23064123,IC50,=,7120,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,23064123,IC50,=,8030,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24165164,KI,=,22000,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24165164,KI,=,28000,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24165164,KI,=,63000,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24707965,KI,=,2600,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,2400,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,2600,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,3900,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,5100,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,7100,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,9400,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,12300,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,13800,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,15900,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,17300,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,20400,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,20500,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,21200,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,21700,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,22800,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,26100,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,26900,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,37800,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,40500,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,24797717,KI,=,66300,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,25506816,KI,=,800,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,25506816,KI,=,1880,NM,,"","","","","","",,,,,,,,,,,,
,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"",,P21397,MONOAMINE OXIDASE A,MAOA,,,25506816,KI,=,2550,NM,,"","","","","","",,,,,,,,,,,,
