"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL506789";"";"0";"240.35";"0";"2.63";"21";"CN(Cc1ccc2ccccc2c1)[C@H]1CCNC1";"IC50";"'='";"13.0";"nM";"7.89";"";"";"UO_0000065";"32.81";"0.60";"5.26";"51.64";"False";"CHEMBL954293";"Inhibition of radiolabeled serotonin reuptake at human SERT expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153958";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3307715";""
"CHEMBL473966";"";"0";"281.37";"0";"2.92";"24";"CNCCC1CCC(CCc2cc(F)ccc2OC)O1";"IC50";"'='";"18.4";"nM";"7.74";"";"";"UO_0000065";"27.49";"0.53";"4.82";"25.37";"False";"CHEMBL1019481";"Displacement of [3H]serotonin from human recombinant SERT expressed in HEK293 cells by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152805";"1";"Scientific Literature";"J. Med. Chem.";"2009";"CHEMBL3307715";""
"CHEMBL488434";"";"0";"265.71";"0";"3.99";"24";"CNCc1cc(F)ccc1Oc1ccc(Cl)cc1";"IC50";"'='";"9.47";"nM";"8.02";"";"";"UO_0000065";"30.20";"0.61";"4.03";"37.74";"False";"CHEMBL962307";"Inhibition of serotonin reuptake at SERT";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152152";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL551933";"";"0";"546.76";"2";"5.47";"2k";"COc1ccc([C@@H](C)N[C@@H]2CC[C@@H](C(=O)N3CCC(c4ccccc4)(N4CCCNC4=O)CC3)C(C)(C)C2)cc1";"IC50";"'='";"24.0";"nM";"7.62";"";"";"UO_0000065";"13.94";"0.26";"2.15";"10.31";"False";"CHEMBL1053230";"Displacement of [3H]imipramine from human serotonin transporter expressed in CHO cell membrane by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153458";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3308072";""
"CHEMBL3323173";"";"0";"293.44";"0";"4.79";"10a";"Cc1ccc2c(c1)CN(C)CC2c1ccc2sccc2c1";"IC50";"'='";"4.9";"nM";"8.31";"";"";"UO_0000065";"28.32";"0.54";"3.52";"256.48";"False";"CHEMBL3378814";"Displacement of [3H]Citolapram from human SERT expressed in HEK293E cells after 1 hr by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293E";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351632";"1";"Scientific Literature";"ACS Med. Chem. Lett.";"2014";"None";""
"CHEMBL462225";"";"0";"275.78";"0";"4.47";"57";"CNCc1cc(Cl)ccc1Oc1ccc(C)c(C)c1";"IC50";"'='";"9.81";"nM";"8.01";"";"";"UO_0000065";"29.04";"0.58";"3.54";"37.67";"False";"CHEMBL962307";"Inhibition of serotonin reuptake at SERT";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152152";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL455426";"";"0";"325.20";"0";"3.60";"35";"CNCc1cc(C(N)=O)ccc1Oc1ccc(Cl)c(Cl)c1";"IC50";"'='";"3.78";"nM";"8.42";"";"";"UO_0000065";"25.90";"0.55";"4.82";"13.09";"False";"CHEMBL962307";"Inhibition of serotonin reuptake at SERT";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152152";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL472253";"";"0";"262.38";"0";"1.45";"5f";"C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN";"IC50";"'='";"81.0";"nM";"7.09";"";"";"UO_0000065";"27.03";"0.54";"5.64";"15.31";"False";"CHEMBL948471";"Displacement of [alpha,beta-3H(N)]-5-hydroxytryptamine from human cloned SERT expressed in HEK293 cells by microplate scintillation counter";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152288";"1";"Scientific Literature";"J. Med. Chem.";"2008";"CHEMBL3307715";""
"CHEMBL250764";"";"0";"239.36";"0";"3.90";"10c";"CCN(C)CC1CC1c1ccc2ccccc2c1";"IC50";"'='";"310.0";"nM";"6.51";"";"";"UO_0000065";"27.19";"0.49";"2.61";"200.88";"False";"CHEMBL940969";"Inhibition of human SERT";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139814";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL462226";"";"0";"282.17";"0";"4.51";"59";"CNCc1cc(Cl)ccc1Oc1ccc(Cl)cc1";"IC50";"'='";"7.49";"nM";"8.13";"";"";"UO_0000065";"28.80";"0.62";"3.62";"38.22";"False";"CHEMBL962307";"Inhibition of serotonin reuptake at SERT";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152152";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL462387";"";"0";"282.17";"0";"4.51";"54";"CNCc1ccc(Cl)cc1Oc1ccc(Cl)cc1";"IC50";"'='";"9.2";"nM";"8.04";"";"";"UO_0000065";"28.48";"0.61";"3.53";"37.80";"False";"CHEMBL962307";"Inhibition of serotonin reuptake at SERT";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152152";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL528995";"";"0";"228.12";"0";"2.85";"59; DOV 216303";"Clc1ccc(C23CNCC2C3)cc1Cl";"IC50";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"34.43";"0.77";"5.00";"65.29";"False";"CHEMBL4219661";"Binding affinity to SERT (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4219032";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4227736";"ANSOFAXINE";"1";"381.52";"0";"4.55";"71";"Cc1ccc(C(=O)Oc2ccc(C(CN(C)C)C3(O)CCCCC3)cc2)cc1";"IC50";"'='";"723.0";"nM";"6.14";"";"";"UO_0000065";"16.10";"0.30";"1.59";"12.34";"False";"CHEMBL4219697";"Inhibition of human SERT expressed in CHO cells assessed as reduction of [3H]-5-HT re-uptake preincubated for 10 mins followed by [3H]-5-HT addition measured after 10 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4219032";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL457968";"";"0";"251.34";"0";"2.96";"16''b";"Cc1cc(CCC2CCC(CCN)O2)ccc1F";"IC50";"'='";"30.0";"nM";"7.52";"";"";"UO_0000065";"29.93";"0.57";"4.56";"21.34";"False";"CHEMBL1031548";"Inhibition of [3H]serotonin reuptake at human SERT expressed in HEK cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152751";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2009";"CHEMBL3307715";""
"CHEMBL870";"ALENDRONIC ACID";"4";"249.10";"1";"-1.27";"ALENDRONIC ACID";"NCCCC(O)(P(=O)(O)O)P(=O)(O)O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909109";"DRUGMATRIX: Transporter, Serotonin (5-Hydroxytryptamine) (SERT) radioligand binding (ligand: [3H] Paroxetine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";""
"CHEMBL252923";"1R,2S-MILNACIPRAN";"0";"246.35";"0";"1.77";"1-I";"CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN";"IC50";"'='";"3500.0";"nM";"5.46";"";"";"UO_0000065";"22.15";"0.41";"3.69";"11.78";"False";"CHEMBL930495";"Inhibition of human SERT";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143081";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL455184";"";"0";"279.74";"0";"4.30";"63";"CNCc1ccc(Cl)cc1Oc1ccc(F)c(C)c1";"IC50";"'='";"31.2";"nM";"7.51";"";"";"UO_0000065";"26.83";"0.54";"3.21";"35.31";"False";"CHEMBL962307";"Inhibition of serotonin reuptake at SERT";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152152";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL248932";"";"0";"250.34";"0";"3.38";"rac-10e";"CN(C)CC1CC1c1ccc2ccc(C#N)cc2c1";"IC50";"'='";"83.0";"nM";"7.08";"";"";"UO_0000065";"28.29";"0.51";"3.70";"26.20";"False";"CHEMBL940969";"Inhibition of human SERT";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139814";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL585708";"";"0";"294.40";"0";"3.12";"7o";"CNC[C@H](O)[C@H](c1ccccc1)n1cc(C)c2ccccc21";"IC50";"'='";"251.0";"nM";"6.60";"";"";"UO_0000065";"22.42";"0.41";"3.48";"17.75";"False";"CHEMBL1038297";"Inhibition of serotonin uptake at human SERT expressed in JAR cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JAR";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155305";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3307657";""
"CHEMBL578158";"";"0";"266.34";"0";"2.55";"7l";"NC[C@H](O)[C@H](c1ccccc1)n1ccc2ccccc21";"IC50";"'='";"50.0";"nM";"7.30";"";"";"UO_0000065";"27.41";"0.50";"4.75";"14.27";"False";"CHEMBL1038297";"Inhibition of serotonin uptake at human SERT expressed in JAR cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JAR";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155305";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3307657";""
"CHEMBL4064213";"";"0";"349.45";"1";"5.09";"12";"CN(C)CCCC1(c2ccc(F)cc2)OCc2cc3ccccc3cc21";"IC50";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"23.17";"0.43";"3.01";"64.93";"False";"CHEMBL4001852";"Inhibition of [3H]5-HT uptake by SERT primary site (S1) (unknown origin) expressed in African green monkey COS1 cells after 10 mins by TopCount scintillation counting method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4000221";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";""
"CHEMBL461095";"";"0";"281.83";"0";"3.68";"(R)-(-)-9";"CN(C)C[C@@H](c1cccc(Cl)c1)C1(O)CCCCC1";"IC50";"'='";"405.0";"nM";"6.39";"";"";"UO_0000065";"22.68";"0.46";"2.71";"27.24";"False";"CHEMBL1020017";"Inhibition of 5HT uptake at human SERT expressed in human JAR cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JAR";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155011";"1";"Scientific Literature";"J. Med. Chem.";"2008";"CHEMBL3307657";""
"CHEMBL316862";"";"0";"281.83";"0";"3.68";"10";"CN(C)CC(c1ccccc1Cl)C1(O)CCCCC1";"IC50";"'='";"177.0";"nM";"6.75";"";"";"UO_0000065";"23.96";"0.49";"3.07";"28.77";"False";"CHEMBL1020017";"Inhibition of 5HT uptake at human SERT expressed in human JAR cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JAR";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155011";"1";"Scientific Literature";"J. Med. Chem.";"2008";"CHEMBL3307657";""
"CHEMBL3703742";"";"0";"440.25";"1";"5.43";"BDBM159341";"Fc1cc2c(cc1-c1ccc(OC(F)F)nn1)CNCC2c1ccc(Cl)c(Cl)c1";"IC50";"'='";"15.9";"nM";"7.80";"";"302056";"UO_0000065";"17.71";"0.37";"2.37";"16.58";"False";"CHEMBL3705436";"Radioligand Binding Assay: Compounds were dissolved in 100% DMSO at a concentration 100 times the desired highest assay concentration, serially diluted 1:3 in 100% DMSO, and 0.4 ul/well of each solution was dispensed to a Nunc polypropylene, round bottom, 384-well plate. 100% inhibition is defined with 0.4 ul/well of 1 mM fluoxetine dissolved in DMSO. 20 ul/well of a 2x membrane preparation (15 ug/ml in 50 mM Tris-Cl, pH 7.5, 120 mM NaCl, 5 mM KCl) and 20 ul/well of a 2x radioligand solution (520 pM [125I]RTI-55 in 50 mM Tris-Cl, pH 7.5, 120 mM NaCl, 5 mM KCl) were added to each well and the reaction incubated for 1 hour at room temperature. The contents of the assay plate were then transferred to a Millipore MultiscreenHTS GF/B filter plate which was pretreated with 0.5% PEI for at least one hour. The plate was vacuum filtered and washed with 7 washes of 100 ul/well 50 mM Tris-Cl, pH 7.5, 120 mM NaCl, 5 mM KCl chilled to 4 C.";"B";"BAO_0000249";"cell membrane format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639176";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3819249";"";"0";"304.43";"0";"2.35";"3";"COc1cccc(CN(C2CCOCC2)C2CCNC2)c1C";"IC50";"'='";"11.0";"nM";"7.96";"";"";"UO_0000065";"26.14";"0.49";"5.61";"23.60";"False";"CHEMBL3820932";"Inhibition of serotonin transporter (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3817740";"1";"Scientific Literature";"MedChemComm";"2016";"None";""
"CHEMBL894";"BUPROPION";"4";"239.75";"0";"3.30";"bupropion";"CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1";"IC50";"'='";"47000.0";"nM";"4.33";"";"";"UO_0000065";"18.05";"0.37";"1.03";"14.87";"False";"CHEMBL806215";"Inhibition of [3H]paroxetine binding at serotonin transporter was determined";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136786";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL469809";"";"0";"227.31";"0";"2.72";"10";"c1ccc2cc(CO[C@@H]3CCNC3)ccc2c1";"IC50";"'='";"20.0";"nM";"7.70";"";"";"UO_0000065";"33.87";"0.62";"4.98";"36.21";"False";"CHEMBL954293";"Inhibition of radiolabeled serotonin reuptake at human SERT expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153958";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3307715";""
"CHEMBL485228";"";"0";"446.53";"0";"4.07";"(+)-52a";"N#Cc1ccc2[nH]cc(CCCN(C3CCC3)C3COc4c(F)ccc(C(N)=O)c4C3)c2c1";"IC50";"'='";"10.1";"nM";"8.00";"";"";"UO_0000065";"17.91";"0.33";"3.93";"8.40";"False";"CHEMBL984526";"Inhibition of 5-HT transporter-mediated [3H]5HT uptake in human Jar cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JAR";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142498";"1";"Scientific Literature";"J. Med. Chem.";"2008";"CHEMBL3307657";""
"CHEMBL295467";"NISOXETINE";"0";"271.36";"0";"3.42";"2";"CNCCC(Oc1ccccc1OC)c1ccccc1";"IC50";"'='";"1400.0";"nM";"5.85";"";"";"UO_0000065";"21.57";"0.40";"2.43";"19.20";"True";"CHEMBL945184";"Inhibition of serotonin uptake at human SERT in human HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157521";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"CHEMBL3307715";""
