,Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,pubchem_cid,smiles_pc,Standard Type,Standard Relation,Standard Value,Standard Units,pIC50_MRP4,relation_MRP4,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,casn,aenm,pIC50_MRP4_tcpl,spid,pIC50_MRP4_adj,pIC50_MRP4_tcpl_adj,Morgan,SMDC,CRADA,Hafey
10,CHEMBL260315,Lithocholate-3-sulfate,0,456.65,1,5.33,Lithocholate-3-sulfate,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@@]21C,451489,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)OS(=O)(=O)O)C)C,IC50,'=',10000,nM,5,,,inhibitor [IC50=10uM],UO_0000065,,,,,0,CHEMBL2078156,TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing HEK-293 cells,F,BAO_0000249,cell membrane format,None,None,None,HEK293,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3307715,sulfolithocholic acid,,5,,5,5,0,0,0,0
11,CHEMBL2074982,Dehydroepiandrosterone-3-glucuronide,0,464.56,0,1.8,Dehydroepiandrosterone-3-glucuronide,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)CC[C@@]43C)[C@@H]1CCC2=O,470824,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O)C,IC50,'=',80000,nM,4.1,,,inhibitor [IC50=80uM],UO_0000065,,,,,0,CHEMBL2077067,TP_TRANSPORTER: inhibition of DHEAS in membrane vesicles from MRP4-expressing Sf9 cells,F,BAO_0000249,cell membrane format,None,None,None,Sf9,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3308860,dehydroepiandrosterone,,4.1,,4.1,4.1,0,0,0,0
12,CHEMBL2074982,Dehydroepiandrosterone-3-glucuronide,0,464.56,0,1.8,Dehydroepiandrosterone-3-glucuronide,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)CC[C@@]43C)[C@@H]1CCC2=O,470824,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O)C,IC50,'=',80000,nM,4.1,,,inhibitor [IC50=80uM],UO_0000065,,,,,0,CHEMBL2077531,TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing Sf9 cells,F,BAO_0000249,cell membrane format,None,None,None,Sf9,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3308860,dehydroepiandrosterone,,4.1,,4.1,4.1,0,0,0,0
13,CHEMBL412272,DEOXY CHOLATE,0,499.71,0,3.4,Taurodeoxycholate,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,2733768,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,IC50,'=',60000,nM,4.22,,,inhibitor [IC50=60uM],UO_0000065,,,,,0,CHEMBL2078156,TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing HEK-293 cells,F,BAO_0000249,cell membrane format,None,None,None,HEK293,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3307715,taurodeoxycholate,,4.22,,4.22,4.22,0,0,0,0
14,CHEMBL494753,ESTRONE SULFURIC ACID,4,350.44,0,3.29,Estrone-3-sulfate,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,3001028,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O,IC50,'=',95000,nM,4.02,,,inhibitor [IC50=95uM],UO_0000065,,,,,0,CHEMBL2077067,TP_TRANSPORTER: inhibition of DHEAS in membrane vesicles from MRP4-expressing Sf9 cells,F,BAO_0000249,cell membrane format,None,None,None,Sf9,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3308860,Estrone-3-sulfate,,4.02,,4.02,4.02,0,0,0,0
15,CHEMBL494753,ESTRONE SULFURIC ACID,4,350.44,0,3.29,Estrone-3-sulfate,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,3001028,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O,IC50,'=',45000,nM,4.35,,,inhibitor [IC50=45uM],UO_0000065,,,,,0,CHEMBL2077531,TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing Sf9 cells,F,BAO_0000249,cell membrane format,None,None,None,Sf9,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3308860,Estrone-3-sulfate,,4.35,,4.35,4.35,0,0,0,0
16,CHEMBL1697724,ESTRADIOL 17B GLUCURONIDE,0,448.51,0,1.53,Estradiol-17beta-D-glucuronide,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O,5281887,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)CCC5=C3C=CC(=C5)O,IC50,'=',30000,nM,4.52,,,inhibitor [IC50=30uM],UO_0000065,,,,,0,CHEMBL2077067,TP_TRANSPORTER: inhibition of DHEAS in membrane vesicles from MRP4-expressing Sf9 cells,F,BAO_0000249,cell membrane format,None,None,None,Sf9,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3308860,Estradiol-17beta-Glucuronide,,4.52,,4.52,4.52,0,0,0,0
17,CHEMBL3349339,Estradiol 3-sulfate,0,352.45,0,3.09,Estradiol 3-sulfate,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CC[C@H]2O,11530890,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=C3C=CC(=C4)OS(=O)(=O)O,IC50,'=',70000,nM,4.16,,,inhibitor [IC50=70uM],UO_0000065,,,,,0,CHEMBL2077067,TP_TRANSPORTER: inhibition of DHEAS in membrane vesicles from MRP4-expressing Sf9 cells,F,BAO_0000249,cell membrane format,None,None,None,Sf9,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3308860,Estradiol 3-sulfate,,4.16,,4.16,4.16,0,0,0,0
18,CHEMBL3349339,Estradiol 3-sulfate,0,352.45,0,3.09,Estradiol 3-sulfate,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CC[C@H]2O,11530890,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=C3C=CC(=C4)OS(=O)(=O)O,IC50,'=',50000,nM,4.3,,,inhibitor [IC50=50uM],UO_0000065,,,,,0,CHEMBL2077531,TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing Sf9 cells,F,BAO_0000249,cell membrane format,None,None,None,Sf9,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3308860,Estradiol 3-sulfate,,4.3,,4.3,4.3,0,0,0,0
19,CHEMBL2074644,Taurolithocholate-3-sulfate,0,563.78,1,4.25,Taurolithocholate-3-sulfate,C[C@H](CCC(=O)NCCS(=O)(=O)O)C1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,70691019,C[C@H](CCC(=O)NCCS(=O)(=O)O)C1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)OS(=O)(=O)O)C)C,IC50,'=',10000,nM,5,,,inhibitor [IC50=10uM],UO_0000065,,,,,0,CHEMBL2078156,TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing HEK-293 cells,F,BAO_0000249,cell membrane format,None,None,None,HEK293,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3307715,taurolithocholate-3-sulfate,,5,,5,5,0,0,0,0
20,CHEMBL259898,PRASTERONE SULFURIC ACID,2,368.5,0,3.71,Dehydroepiandrosterone-3-sulfate,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](OS(=O)(=O)O)CC[C@@]43C)[C@@H]1CCC2=O,12594,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)O)C,IC50,'=',3000,nM,5.52,,,inhibitor [IC50=3uM],UO_0000065,,,,,0,CHEMBL2078640,TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing Sf9 cells,F,BAO_0000249,cell membrane format,None,None,None,Sf9,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073968,18,TP-search Transporter Database,Int. J. Biochem. Cell Biol.,2004,CHEMBL3308860,dehydroepiandrosterone sulfate,,5.52,,5.52,5.52,0,0,0,0
21,CHEMBL126075,DILAZEP,0,604.7,2,3.54,Dilazep,COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,3074,COC1=CC(=CC(=C1OC)OC)C(=O)OCCCN2CCCN(CC2)CCCOC(=O)C3=CC(=C(C(=C3)OC)OC)OC,IC50,'=',20000,nM,4.7,,,inhibitor [IC50=20uM],UO_0000065,,,,,0,CHEMBL2077068,TP_TRANSPORTER: inhibition of 9-(2-phosphonomethoxyethyl)adenine(PMEA) efflux (PMEA: 1 uM) in MRP4-expressing HEK293 cells,F,BAO_0000219,cell-based format,None,None,None,HEK293,None,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2074007,18,TP-search Transporter Database,Mol. Pharmacol.,2003,CHEMBL3307715,dilazep,,4.7,,4.7,4.7,0,0,0,0
22,CHEMBL932,DIPYRIDAMOLE,4,504.64,2,-0.02,DIPYRIDAMOLE,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,3108,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,IC50,'=',2000,nM,5.7,,,inhibitor [IC50=2uM],UO_0000065,,,,,0,CHEMBL2077068,TP_TRANSPORTER: inhibition of 9-(2-phosphonomethoxyethyl)adenine(PMEA) efflux (PMEA: 1 uM) in MRP4-expressing HEK293 cells,F,BAO_0000219,cell-based format,None,None,None,HEK293,None,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2074007,18,TP-search Transporter Database,Mol. Pharmacol.,2003,CHEMBL3307715,3108,,5.7,424,5.7,5.7,1,0,0,1
23,CHEMBL932,DIPYRIDAMOLE,4,504.64,2,-0.02,Dipyridamole,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,3108,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,IC50,'=',8300,nM,5.08,,,,UO_0000065,,,,,0,CHEMBL4028924,Inhibition of human MRP4 overexpressed in Sf9 cell membrane vesicles assessed as uptake of [3H]-estradiol-17beta-D-glucuronide in presence of ATP and GSH measured after 20 mins by membrane vesicle transport assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4028801,1,Scientific Literature,Toxicol Sci,2013,None,3108,,5.08,424,5.08,5.08,1,0,0,1
24,,dipyridamole,,,,,dipyridamole,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,3108,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,,,2.8,,5.552841969,,,,,,,,,,,,,,,,,,,,,,,,HAFEY,,,,,,3108,,5.552841969,424,5.552841969,5.552841969,1,0,0,1
25,CHEMBL285913,TREQUINSIN,0,405.5,0,3.58,Trequinsin,COc1cc2c(cc1OC)-c1c/c(=N\c3c(C)cc(C)cc3C)n(C)c(=O)n1CC2,5537,CC1=CC(=C(C(=C1)C)N=C2C=C3C4=CC(=C(C=C4CCN3C(=O)N2C)OC)OC)C,IC50,'=',10000,nM,5,,,inhibitor [IC50=10uM],UO_0000065,,,,,0,CHEMBL2077068,TP_TRANSPORTER: inhibition of 9-(2-phosphonomethoxyethyl)adenine(PMEA) efflux (PMEA: 1 uM) in MRP4-expressing HEK293 cells,F,BAO_0000219,cell-based format,None,None,None,HEK293,None,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2074007,18,TP-search Transporter Database,Mol. Pharmacol.,2003,CHEMBL3307715,trequinsin,,5,,5,5,0,0,0,0
26,CHEMBL418509,NITROBENZYLMERCAPTOPURINE RIBONUCLEOSIDE,0,419.42,1,0.64,Nitrobenzylmercaptopurine riboside,O=[N+]([O-])c1ccc(CSc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1,65407,C1=CC(=CC=C1CSC2=NC=NC3=C2N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)[N+](=O)[O-],IC50,'=',75000,nM,4.12,,,inhibitor [IC50=75uM],UO_0000065,,,,,0,CHEMBL2077068,TP_TRANSPORTER: inhibition of 9-(2-phosphonomethoxyethyl)adenine(PMEA) efflux (PMEA: 1 uM) in MRP4-expressing HEK293 cells,F,BAO_0000219,cell-based format,None,None,None,HEK293,None,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2074007,18,TP-search Transporter Database,Mol. Pharmacol.,2003,CHEMBL3307715,NITROBENZYLMERCAPTOPURINE RIBONUCLEOSIDE,,4.12,,4.12,4.12,0,0,0,0
