,Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,pubchem_cid,smiles_pc,Standard Type,Standard Relation,Standard Value,Standard Units,pIC50_BSEP,relation_BSEP,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,casn,aenm,pIC50_BSEP_tcpl,spid,pIC50_BSEP_adj,pIC50_BSEP_tcpl_adj,Morgan,SMDC,CRADA,Hafey
14,CHEMBL124881,(S)-BICALUTAMIDE,0,430.38,0,2.88,AZ178,C[C@@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,441405,C[C@@](CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,IC50,'<',10000,nM,5,<,,,UO_0000065,,,,,0,CHEMBL4017550,Inhibition of human BSEP expressed in baculovirus transfected fall armyworm Sf21 cell membranes vesicles assessed as reduction in ATP-dependent [3H]-taurocholate transport into vesicles incubated for 5 mins by Topcount based rapid filtration method,A,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL6020,Bile salt export pump,Homo sapiens,SINGLE PROTEIN,CHEMBL4017441,1,Scientific Literature,Drug Metab Dispos,2012,None,(S)-BICALUTAMIDE,,5,,6,6,0,0,0,0
15,,"[6-((3s,5r)-3,5-dimethyl-piperazin-1-yl)-5-methoxy-2,3-dihydro-indol-1-yl]-[2'-methyl-4'-(5-methyl-[1,2,4]oxadiazol-3-yl)-biphenyl-4-yl]-methanone",,,,,"[6-((3s,5r)-3,5-dimethyl-piperazin-1-yl)-5-methoxy-2,3-dihydro-indol-1-yl]-[2'-methyl-4'-(5-methyl-[1,2,4]oxadiazol-3-yl)-biphenyl-4-yl]-methanone",COc1cc2CCN(C(=O)c3ccc(cc3)-c3ccc(cc3C)-c3noc(C)n3)c2cc1N1C[C@H](C)N[C@H](C)C1,11591924,C[C@@H]1CN(C[C@@H](N1)C)C2=C(C=C3CCN(C3=C2)C(=O)C4=CC=C(C=C4)C5=C(C=C(C=C5)C6=NOC(=N6)C)C)OC,11591924,,,,4.87,,,,,,,,,,,,,,,,,,,,,,,,SMDC,,,,,,11591924,BSEP_Txptr_Inhib_3HTch_uptake,4.813260435,45,4.87,4.813260435,0,1,0,0
120,,"1-(4-chloro-2-hydroxy-3-sulfamoylphenyl)-3-(2,3-dichlorophenyl)urea",,,,,"1-(4-chloro-2-hydroxy-3-sulfamoylphenyl)-3-(2,3-dichlorophenyl)urea",NS(=O)(=O)c1c(Cl)ccc(NC(=O)Nc2cccc(Cl)c2Cl)c1O,69104969,C1=CC(=C(C(=C1)Cl)Cl)NC(=O)NC2=C(C(=C(C=C2)Cl)S(=O)(=O)N)O.[Na],9887803,,,,4.84,,,,,,,,,,,,,,,,,,,,,,,,SMDC,,,,,,69104969,BSEP_Txptr_Inhib_3HTch_uptake,4.773047957,213,4.84,4.773047957,0,1,0,0
121,,"1-(5-(4-amino-7-methyl-7H-pyrrolo[2,3-d]pyrimidin-5-yl)-4-fluoroindolin-1-yl)-2-(6-methylpyridin-2-yl)ethanone",,,,,"1-(5-(4-amino-7-methyl-7H-pyrrolo[2,3-d]pyrimidin-5-yl)-4-fluoroindolin-1-yl)-2-(6-methylpyridin-2-yl)ethanone",Cc1cccc(CC(=O)N2CCc3c2ccc(-c2cn(C)c4ncnc(N)c24)c3F)n1,53469059,CC1=NC(=CC=C1)CC(=O)N2CCC3=C2C=CC(=C3F)C4=CN(C5=NC=NC(=C45)N)C,53469059,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,SMDC,,,,,,53469059,,4.25,13,4.25,4.25,0,1,0,0
122,,"1-[4-(1-pyrrolidinylcarbonyl)phenyl]-3-(trifluoromethyl)-4,5,6,7-tetrahydro-1h-indazole",,,,,"1-[4-(1-pyrrolidinylcarbonyl)phenyl]-3-(trifluoromethyl)-4,5,6,7-tetrahydro-1h-indazole",FC(F)(F)c1cc(NNC(=O)[C@H](N2CCN3CCC[C@@H]3C2)c2cccnc2)cc(c1)C(F)(F)F,4862343,C1CCC2=C(C1)C(=NN2C3=CC=C(C=C3)C(=O)N4CCCC4)C(F)(F)F,25124566,,,,4,>,,,,,,,,,,,,,,,,,,,,,,,SMDC,,,,,,4862343,,4,17,3,3,0,1,0,0
123,CHEMBL1381098,1-NAPHTHYLISOTHIOCYANATE,0,185.25,0,3.57,ANIT,S=C=Nc1cccc2ccccc12,11080,C1=CC=C2C(=C1)C=CC=C2N=C=S,IC50,'=',60000,nM,4.22,,,,UO_0000065,,,,,0,CHEMBL4011663,Inhibition of human BSEP expressed in fall armyworm sf9 cell plasma membrane vesicles assessed as reduction in vesicle-associated [3H]-taurocholate transport preincubated for 10 mins prior to ATP addition measured after 15 mins in presence of [3H]-taurocholate by topcount based membrane vesicle transport assay,A,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL6020,Bile salt export pump,Homo sapiens,SINGLE PROTEIN,CHEMBL4011581,1,Scientific Literature,Toxicol Sci,2010,None,11080,,4.22,Chembl_txp_013,4.22,4.22,1,0,0,0
124,CHEMBL1381098,1-NAPHTHYLISOTHIOCYANATE,0,185.25,0,3.57,Anit,S=C=Nc1cccc2ccccc12,11080,C1=CC=C2C(=C1)C=CC=C2N=C=S,IC50,'=',69000,nM,4.16,,,,UO_0000065,,,,,0,CHEMBL4028921,Inhibition of human BSEP overexpressed in Sf9 cell membrane vesicles assessed as uptake of [3H]-taurocholate in presence of ATP measured after 15 to 20 mins by membrane vesicle transport assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL6020,Bile salt export pump,Homo sapiens,SINGLE PROTEIN,CHEMBL4028801,1,Scientific Literature,Toxicol Sci,2013,None,11080,,4.16,Chembl_txp_013,4.16,4.16,1,0,0,0
125,,"1,4-bis[(3,4-dimethoxyphenyl)sulfonyl]-1,4-diazepane",,,,,"1,4-bis[(3,4-dimethoxyphenyl)sulfonyl]-1,4-diazepane",COc1ccc(cc1OC)S(=O)(=O)N1CCCN(CC1)S(=O)(=O)c1ccc(OC)c(OC)c1,1520267,COC1=C(C=C(C=C1)S(=O)(=O)N2CCCN(CC2)S(=O)(=O)C3=CC(=C(C=C3)OC)OC)OC,1520267,,,,4.03,,,,,,,,,,,,,,,,,,,,,,,,SMDC,,,,,,1520267,,4.03,7,4.03,4.03,0,1,0,0
126,CHEMBL4060109,17Alpha-Ethinyl estradiol,0,297.4,0,3.5,17Alpha-Ethinyl estradiol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@]2(O)C#N,15765643,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#N)O)CCC4=C3C=CC(=C4)O,IC50,'=',14000,nM,4.85,,,,UO_0000065,,,,,0,CHEMBL4011663,Inhibition of human BSEP expressed in fall armyworm sf9 cell plasma membrane vesicles assessed as reduction in vesicle-associated [3H]-taurocholate transport preincubated for 10 mins prior to ATP addition measured after 15 mins in presence of [3H]-taurocholate by topcount based membrane vesicle transport assay,A,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL6020,Bile salt export pump,Homo sapiens,SINGLE PROTEIN,CHEMBL4011581,1,Scientific Literature,Toxicol Sci,2010,None,17Alpha-Ethinyl estradiol,,4.85,,4.85,4.85,0,0,0,0
127,,"1H-Indole-2-carboxylic acid, 4,6-dichloro-3-((E)-(2-oxo-1-phenyl-3-pyrrolidinylidene)methyl)-",,,,,"1H-Indole-2-carboxylic acid, 4,6-dichloro-3-((E)-(2-oxo-1-phenyl-3-pyrrolidinylidene)methyl)-",OC(=O)c1[nH]c2cc(Cl)cc(Cl)c2c1\C=C1/CCN(C1=O)c1ccccc1,6913185,C\1CN(C(=O)/C1=C/C2=C(NC3=C2C(=CC(=C3)Cl)Cl)C(=O)O)C4=CC=CC=C4,6913185,,,,5.22,,,,,,,,,,,,,,,,,,,,,,,,SMDC,,,,,,6913185,BSEP_Txptr_Inhib_3HTch_uptake,5.101208492,154,5.22,5.101208492,0,1,0,0
128,,"2-[4-(4-fluorophenyl)-5-(2-phenoxypyrimidin-4-yl)imidazol-1-yl]propane-1,3-diol",,,,,"2-[4-(4-fluorophenyl)-5-(2-phenoxypyrimidin-4-yl)imidazol-1-yl]propane-1,3-diol",OCC(CO)n1cnc(c1-c1ccnc(Oc2ccccc2)n1)-c1ccc(F)cc1,70195573,C1=CC=C(C=C1)C(CO)N2C=NC(=C2C3=NC(=NC=C3)OC4=CC=CC=C4)C5=CC=C(C=C5)F.C1=CC=C(C=C1)OC2=NC=CC(=N2)C3=C(N=CN3C(CO)CO)C4=CC=C(C=C4)F,9931156,,,,4.76,,,,,,,,,,,,,,,,,,,,,,,,SMDC,,,,,,70195573,,4.76,176,4.76,4.76,0,1,0,0
129,,"2-bromo-4,5-dimethoxy-N-[3-[(3R)-1-methylpyrrolidin-3-yl]oxy-4-(trifluoromethyl)phenyl]benzenesulfonamide",,,,,"2-bromo-4,5-dimethoxy-N-[3-[(3R)-1-methylpyrrolidin-3-yl]oxy-4-(trifluoromethyl)phenyl]benzenesulfonamide",COc1cc(Br)c(cc1OC)S(=O)(=O)Nc1ccc(c(O[C@@H]2CCN(C)C2)c1)C(F)(F)F,21023902,CN1CC[C@H](C1)OC2=C(C=CC(=C2)NS(=O)(=O)C3=C(C=C(C(=C3)OC)OC)Br)C(F)(F)F,21023902,,,,4,>,,,,,,,,,,,,,,,,,,,,,,,SMDC,,,,,,21023902,,4,21,3,3,0,1,0,0
130,,"3-[4-[(1R)-1-[[2-(6,7-dichloro-3-oxo-1,4-benzoxazin-4-yl)acetyl]-methylamino]-2-pyrrolidin-1-ylethyl]phenyl]benzamide",,,,,"3-[4-[(1R)-1-[[2-(6,7-dichloro-3-oxo-1,4-benzoxazin-4-yl)acetyl]-methylamino]-2-pyrrolidin-1-ylethyl]phenyl]benzamide",CN([C@@H](CN1CCCC1)c1ccc(cc1)-c1cccc(c1)C(N)=O)C(=O)CN1C(=O)COc2cc(Cl)c(Cl)cc12,46846503,CN([C@@H](CN1CCCC1)C2=CC=C(C=C2)C3=CC(=CC=C3)C(=O)N)C(=O)CN4C(=O)COC5=CC(=C(C=C54)Cl)Cl,46846503,,,,5.64,,,,,,,,,,,,,,,,,,,,,,,,SMDC,,,,,,46846503,BSEP_Txptr_Inhib_3HTch_uptake,4.829318869,42,5.64,4.829318869,0,1,0,0
131,,3-chloro-6-(hydroxymethyl)-2-methyl-5-(4-(4-(trifluoromethoxy)phenoxy)phenyl)pyridin-4(1h)-one,,,,,3-chloro-6-(hydroxymethyl)-2-methyl-5-(4-(4-(trifluoromethoxy)phenoxy)phenyl)pyridin-4(1h)-one,Cc1[nH]c(CO)c(-c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)c(=O)c1Cl,23651142,CC1=C(C(=O)C(=C(N1)CO)C2=CC=C(C=C2)OC3=CC=C(C=C3)OC(F)(F)F)Cl,23651142,,,,4.39,,,,,,,,,,,,,,,,,,,,,,,,SMDC,,,,,,23651142,,4.39,127,4.39,4.39,0,1,0,0
132,,"3-Methyl-N-[(2S)-4-methyl-1-[[(4S,7R)-7-methyl-3-oxo-1-pyridin-2-ylsulfonylazepan-4-yl]amino]-1-oxopentan-2-yl]furo[3,2-b]pyridine-2-carboxamide",,,,,"3-Methyl-N-[(2S)-4-methyl-1-[[(4S,7R)-7-methyl-3-oxo-1-pyridin-2-ylsulfonylazepan-4-yl]amino]-1-oxopentan-2-yl]furo[3,2-b]pyridine-2-carboxamide",CC(C)C[C@H](NC(=O)c1oc2cccnc2c1C)C(=O)N[C@H]1CC[C@@H](C)N(CC1=O)S(=O)(=O)c1ccccn1,10120230,C[C@@H]1CC[C@@H](C(=O)CN1S(=O)(=O)C2=CC=CC=N2)NC(=O)[C@H](CC(C)C)NC(=O)C3=C(C4=C(O3)C=CC=N4)C,10120230,,,,4.58,,,,,,,,,,,,,,,,,,,,,,,,SMDC,,,,,,10120230,BSEP_Txptr_Inhib_3HTch_uptake,5.252351902,142,4.58,5.252351902,0,1,0,0
133,CHEMBL1231206,30; PF-3644022; PF022,0,374.47,0,4.36,30; PF-3644022; PF022,Cc1ccc(-c2ccc3c(ccc4sc5c(c43)NC[C@@H](C)NC5=O)n2)cn1,44631903,C[C@@H]1CNC2=C(C(=O)N1)SC3=C2C4=C(C=C3)N=C(C=C4)C5=CN=C(C=C5)C,IC50,'=',7000,nM,5.16,,,,UO_0000065,13.77,0.26,0.79,7.7,0,CHEMBL3811149,Inhibition of human BSEP expressed in recombinant baculovirus infected insect Sf9 cell membrane vesicles assessed as [3H]-taurocholate transport preincubated for 5 mins followed by ATP or AMP addition measured after 5 mins by scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,CHEMBL6020,Bile salt export pump,Homo sapiens,SINGLE PROTEIN,CHEMBL3808386,1,Scientific Literature,J. Med. Chem.,2016,CHEMBL3308860,30; PF-3644022; PF022,,5.16,,5.16,5.16,0,0,0,0
134,CHEMBL3808630,31; PF318,0,447.56,0,4.82,31; PF318,COCCOCc1cccc(-c2ccc3c(ccc4sc5c(c43)NC[C@@H](C)NC5=O)n2)c1,127044281,C[C@@H]1CNC2=C(C(=O)N1)SC3=C2C4=C(C=C3)N=C(C=C4)C5=CC=CC(=C5)COCCOC,IC50,'=',7000,nM,5.16,,,,UO_0000065,11.52,0.22,0.33,7.11,0,CHEMBL3811149,Inhibition of human BSEP expressed in recombinant baculovirus infected insect Sf9 cell membrane vesicles assessed as [3H]-taurocholate transport preincubated for 5 mins followed by ATP or AMP addition measured after 5 mins by scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,CHEMBL6020,Bile salt export pump,Homo sapiens,SINGLE PROTEIN,CHEMBL3808386,1,Scientific Literature,J. Med. Chem.,2016,CHEMBL3308860,31; PF318,,5.16,,5.16,5.16,0,0,0,0
135,,"4-(2,4-Difluorophenyl)-2-(1,3-dihydroxypropan-2-ylamino)-8-(2,4,6-trifluorophenyl)pyrido[2,3-d]pyrimidin-7-one",,,,,"4-(2,4-Difluorophenyl)-2-(1,3-dihydroxypropan-2-ylamino)-8-(2,4,6-trifluorophenyl)pyrido[2,3-d]pyrimidin-7-one",OCC(CO)Nc1nc(-c2ccc(F)cc2F)c2ccc(=O)n(-c3c(F)cc(F)cc3F)c2n1,9869676,C1=CC(=C(C=C1F)F)C2=C3C=CC(=O)N(C3=NC(=N2)NC(CO)CO)C4=C(C=C(C=C4F)F)F,9869676,,,,5.53,,,,,,,,,,,,,,,,,,,,,,,,SMDC,,,,,,9869676,BSEP_Txptr_Inhib_3HTch_uptake,4.854676697,103,5.53,4.854676697,0,1,0,0
